source,target,weight
5,13,0.0209980262782904
5,15,0.01786854224729658
5,16,0.0327648791455327
5,18,0.0209980262782904
5,20,0.019055398349167647
5,21,0.03513641844631533
5,22,0.02333800140046683
5,23,0.03230010554076728
5,24,0.01887128390240993
5,25,0.029520496184669846
5,29,0.020286020648339485
5,32,0.014506471329641486
5,33,0.022680460581325723
5,34,0.02868876552746235
5,36,0.01367683233103697
5,37,0.014506471329641486
5,38,0.013344012817090595
5,39,0.024845199749997663
5,40,0.019245008972987525
5,41,0.02749286996141075
5,43,0.031219527052723135
5,46,0.02934836354418746
5,48,0.029520496184669846
5,50,0.007792076370203073
5,51,0.009720197391996739
5,52,0.012270169563871839
5,53,0.032075014954979206
5,55,0.015819299929208316
5,57,0.031016140346615692
5,58,0.022075539284417398
5,59,0.01442474408026385
5,60,0.025269934785963448
5,62,0.02333800140046683
5,68,0.017568209223157664
5,69,0.011340230290662862
5,70,0.10475656017578482
5,71,0.018184824186332698
5,72,0.019440394783993478
5,74,0.033757978902788886
5,75,0.0167506302543202
5,76,0.014847846772912466
5,80,0.027923593886113034
5,81,0.04845015831115092
5,83,0.018692405136401476
5,86,0.0209980262782904
5,88,0.011542389351074062
5,89,0.045360921162651446
5,91,0.026189140043946204
5,92,0.017010345435994292
5,93,0.020064308847628203
5,94,0.025269934785963448
5,99,0.03042903097250923
5,101,0.01467418177209373
5,105,0.019849711139180454
5,111,0.018349396085439344
5,114,0.011501092655705904
5,118,0.013344012817090595
5,119,0.02837521769195829
5,121,0.018518518518518517
5,124,0.018692405136401476
5,128,0.014187608845979145
5,129,0.017144816662454657
5,130,0.02144964840292623
5,132,0.018349396085439344
5,135,0.019641855032959652
5,136,0.01662515560179388
5,158,0.023688968483956713
5,161,0.019245008972987525
5,164,0.025717224993681984
5,165,0.015819299929208316
5,166,0.010171303294955891
5,167,0.027923593886113034
5,170,0.015508070173307846
5,177,0.022075539284417398
5,179,0.03513641844631533
5,195,0.03230010554076728
5,205,0.014344382763731175
5,211,0.02643505285727147
5,212,0.020515248496555453
5,217,0.019055398349167647
5,222,0.019055398349167647
5,227,0.01650245904961124
5,236,0.017716466781757798
5,237,0.018518518518518517
5,241,0.03185456550449977
5,248,0.019440394783993478
5,254,0.01990271446755107
5,259,0.013280317881493264
5,260,0.020515248496555453
5,261,0.014760248092334923
5,267,0.02179068168202045
5,286,0.02179068168202045
5,287,0.016878989451394443
5,291,0.009280767439828409
5,292,0.020515248496555453
5,294,0.01650245904961124
5,299,0.06085806194501846
5,309,0.022371868507134143
5,310,0.025717224993681984
5,319,0.027777777777777776
5,328,0.01887128390240993
5,344,0.0209980262782904
5,346,0.01354074106170646
5,357,0.03456505649101418
5,365,0.015713484026367724
5,369,0.01650245904961124
5,372,0.022680460581325723
5,375,0.019440394783993478
5,377,0.018692405136401476
5,379,0.026948402781814772
5,380,0.016878989451394443
5,381,0.011669000700233415
5,384,0.020515248496555453
5,388,0.022680460581325723
5,396,0.012689783127114683
5,411,0.03185456550449977
5,412,0.020752426878823012
5,421,0.020286020648339485
5,425,0.034289633324909315
5,426,0.04303314829119352
5,427,0.014111125222243389
5,430,0.024845199749997663
5,433,0.01650245904961124
5,441,0.016878989451394443
5,444,0.038880789567986955
5,446,0.035432933563515595
5,451,0.02643505285727147
5,458,0.02179068168202045
5,466,0.05607721540920443
5,468,0.012745318548364542
5,471,0.027777777777777776
5,474,0.02934836354418746
5,476,0.016878989451394443
5,483,0.031016140346615692
5,486,0.011001639366407492
5,493,0.058025885318565944
5,496,0.019245008972987525
5,499,0.012270169563871839
5,500,0.022075539284417398
5,502,0.014589603651080283
5,504,0.01638243957276635
5,515,0.016878989451394443
5,518,0.024845199749997663
5,530,0.022371868507134143
5,532,0.019055398349167647
5,535,0.027777777777777776
5,538,0.016265001215808886
5,554,0.018518518518518517
5,562,0.015609763526361568
5,563,0.010406509017574377
5,565,0.016265001215808886
5,569,0.03062101414497502
5,574,0.019641855032959652
5,576,0.0288494881605277
5,579,0.0327648791455327
5,585,0.014589603651080283
5,587,0.011185934253567072
5,596,0.03042903097250923
5,600,0.018518518518518517
5,601,0.016037507477489603
5,603,0.03604920469572501
5,604,0.012075392600036974
5,605,0.02333800140046683
5,609,0.02837521769195829
5,612,0.01442474408026385
5,623,0.02151657414559676
5,625,0.048112522432468816
5,637,0.01742361244964389
5,638,0.025490637096729083
5,646,0.020064308847628203
5,657,0.023688968483956713
5,659,0.049690399499995326
5,662,0.018349396085439344
5,663,0.024441185836892216
5,666,0.015927282752249885
5,669,0.019641855032959652
5,676,0.01247468647608533
5,677,0.01367683233103697
5,679,0.010826163374360516
5,682,0.02151657414559676
5,683,0.020286020648339485
5,695,0.041504853757646024
5,697,0.017568209223157664
5,705,0.020286020648339485
5,706,0.05227083734893167
5,708,0.017010345435994292
5,715,0.02837521769195829
5,719,0.014937023831607362
5,723,0.023002185311411807
5,725,0.017568209223157664
5,727,0.019849711139180454
5,735,0.020515248496555453
5,736,0.019849711139180454
5,747,0.015027827244457205
5,748,0.027216552697590865
5,753,0.019055398349167647
5,758,0.0419960525565808
5,779,0.01531050707248751
5,784,0.019055398349167647
5,796,0.022371868507134143
5,821,0.029012942659282972
5,823,0.03300491809922248
5,825,0.03300491809922248
5,838,0.014589603651080283
5,840,0.024056261216234408
5,872,0.020286020648339485
5,878,0.020515248496555453
5,913,0.020752426878823012
5,915,0.018692405136401476
5,995,0.018692405136401476
5,1038,0.017144816662454657
5,1051,0.023688968483956713
5,1054,0.024845199749997663
5,1119,0.019849711139180454
5,1141,0.024441185836892216
5,1190,0.015508070173307846
5,1216,0.03604920469572501
5,1242,0.046829290579084706
5,1255,0.016037507477489603
5,1270,0.01742361244964389
5,1276,0.014506471329641486
5,1300,0.018349396085439344
5,1306,0.01467418177209373
5,1311,0.031219527052723135
5,1324,0.03774256780481986
5,1325,0.04303314829119352
5,1330,0.036369648372665396
5,1332,0.06804138174397717
5,1334,0.027216552697590865
5,1342,0.07027283689263066
5,1345,0.03774256780481986
5,1347,0.026189140043946204
5,1352,0.06085806194501846
5,1361,0.06085806194501846
5,1362,0.029695693545824933
5,1365,0.06085806194501846
6,8,0.018594485693193857
6,9,0.035190767153889344
6,10,0.01873171623163388
6,11,0.025649458802128853
6,13,0.03358302471297338
6,15,0.019051939705278707
6,16,0.008733707726295862
6,18,0.011194341570991126
6,20,0.020317398889287453
6,21,0.0468292905790847
6,22,0.012441815044835988
6,23,0.03443927628343273
6,24,0.010060545457319171
6,25,0.03147557901458535
6,27,0.005597170785495563
6,29,0.010814761408717502
6,32,0.007733602811121824
6,33,0.024182541670333724
6,34,0.015294382258037451
6,36,0.014582621308660237
6,37,0.007733602811121824
6,38,0.007113879915305902
6,39,0.01324532357065044
6,40,0.01025978352085154
6,41,0.029313667202432975
6,43,0.008321783316232578
6,46,0.031292046377037544
6,48,0.015737789507292675
6,49,0.009140141618451364
6,50,0.008308129847945279
6,57,0.00826756916703134
6,58,0.023537557657892522
6,59,0.015380065742231525
6,63,0.00960916767552923
6,69,0.006045635417583431
6,70,0.013961796943056517
6,72,0.020727892860286045
6,74,0.035993701653267804
6,75,0.008929995329613664
6,78,0.037779585177709685
6,80,0.007443229275647868
6,81,0.008609819070858183
6,83,0.009965182684649137
6,86,0.022388683141982252
6,88,0.01846022772267149
6,89,0.024182541670333724
6,91,0.013961796943056517
6,92,0.009068453126375145
6,93,0.010696563746013953
6,94,0.026943511520719617
6,99,0.016222142113076255
6,101,0.015646023188518772
6,105,0.010582158705422126
6,111,0.00978231976089037
6,114,0.006131393394849659
6,119,0.03025445104080258
6,121,0.009872481295984873
6,124,0.009965182684649137
6,126,0.00582716546748065
6,128,0.03781806380100323
6,129,0.018280283236902728
6,132,0.00978231976089037
6,135,0.010471347707292387
6,136,0.008863103036963605
6,140,0.011194341570991126
6,149,0.008162245514079562
6,150,0.03678836036909795
6,155,0.010582158705422126
6,158,0.05051568202827216
6,160,0.01653513833406268
6,161,0.02051956704170308
6,164,0.04113063728303113
